r,theta,n,s,psi,eigenvalue
0.05,0.0,0.0,0.0,0.24069193826428065,1.4996092650508082
0.05,0.1282282715750936,0.0,0.0,0.24069193826428065,1.4996092650508082
0.05,0.2564565431501872,0.0,0.0,0.24069193826428065,1.4996092650508082
0.05,0.38468481472528077,0.0,0.0,0.24069193826428065,1.4996092650508082
0.05,0.5129130863003744,0.0,0.0,0.24069193826428065,1.4996092650508082
0.05,0.6411413578754679,0.0,0.0,0.24069193826428065,1.4996092650508082
0.05,0.7693696294505615,0.0,0.0,0.24069193826428065,1.4996092650508082
0.05,0.8975979010256552,0.0,0.0,0.24069193826428065,1.4996092650508082
0.05,1.0258261726007487,0.0,0.0,0.24069193826428065,1.4996092650508082
0.05,1.1540544441758422,0.0,0.0,0.24069193826428065,1.4996092650508082
0.05,1.2822827157509358,0.0,0.0,0.24069193826428065,1.4996092650508082
0.05,1.4105109873260295,0.0,0.0,0.24069193826428065,1.4996092650508082
0.05,1.538739258901123,0.0,0.0,0.24069193826428065,1.4996092650508082
0.05,1.6669675304762166,0.0,0.0,0.24069193826428065,1.4996092650508082
0.05,1.7951958020513104,0.0,0.0,0.24069193826428065,1.4996092650508082
0.05,1.9234240736264039,0.0,0.0,0.24069193826428065,1.4996092650508082
0.05,2.0516523452014974,0.0,0.0,0.24069193826428065,1.4996092650508082
0.05,2.179880616776591,0.0,0.0,0.24069193826428065,1.4996092650508082
0.05,2.3081088883516845,0.0,0.0,0.24069193826428065,1.4996092650508082
0.05,2.436337159926778,0.0,0.0,0.24069193826428065,1.4996092650508082
0.05,2.5645654315018716,0.0,0.0,0.24069193826428065,1.4996092650508082
0.05,2.6927937030769655,0.0,0.0,0.24069193826428065,1.4996092650508082
0.05,2.821021974652059,0.0,0.0,0.24069193826428065,1.4996092650508082
0.05,2.9492502462271526,0.0,0.0,0.24069193826428065,1.4996092650508082
0.05,3.077478517802246,0.0,0.0,0.24069193826428065,1.4996092650508082
0.05,3.2057067893773397,0.0,0.0,0.24069193826428065,1.4996092650508082
0.05,3.333935060952433,0.0,0.0,0.24069193826428065,1.4996092650508082
0.05,3.4621633325275267,0.0,0.0,0.24069193826428065,1.4996092650508082
0.05,3.5903916041026207,0.0,0.0,0.24069193826428065,1.4996092650508082
